,index
0,1371
1,2105
2,2294
3,62
4,110
5,144
6,150
7,153
8,161
9,165
10,168
11,185
12,186
13,223
14,235
15,253
16,261
17,272
18,296
19,300
20,314
21,319
22,339
23,350
24,364
25,377
26,405
27,454
28,468
29,497
30,500
31,508
32,509
33,539
34,550
35,551
36,585
37,586
38,587
39,588
40,590
41,592
42,593
43,616
44,247
45,595
46,866
47,1271
48,1580
49,2028
50,2841
51,2959
52,141
53,173
54,260
55,289
56,329
57,380
58,431
59,435
60,440
61,594
62,596
63,858
64,903
65,910
66,913
67,1073
68,1089
69,1125
70,1213
71,1257
72,1259
73,1265
74,1278
75,1372
76,1374
77,1544
78,1858
79,1954
80,2000
81,2005
82,2018
83,2034
84,2046
85,2064
86,2080
87,2085
88,2086
89,2100
90,2109
91,2110
92,2114
93,2140
94,2268
95,2289
96,2454
97,2616
98,2640
99,2770
100,2788
101,3034
102,3040
103,104
104,231
105,277
106,597
107,788
108,1247
109,1777
110,1923
111,1997
112,2023
113,2355
114,2502
115,3114
116,3176
117,4995
118,111
119,293
120,1250
121,1639
122,1687
123,1909
124,2001
125,2019
126,2657
127,8874
128,207
129,345
130,534
131,671
132,708
133,745
134,786
135,924
136,1375
137,524
138,628
139,805
140,1552
141,4011
142,8873
143,608
144,1541
145,1584
146,2291
147,2501
148,2539
149,152
150,1499
151,1690
152,1887
153,2108
154,2907
155,70
156,169
157,923
158,673
159,2668
160,3179
161,531
162,914
163,3175
164,5
165,11
166,14
167,16
168,19
169,22
170,25
171,82
172,95
173,101
174,107
175,123
176,145
177,149
178,157
179,162
180,163
181,164
182,170
183,172
184,175
185,176
186,180
187,193
188,196
189,214
190,215
191,246
192,252
193,288
194,306
195,308
196,322
197,335
198,429
199,483
200,535
201,562
202,574
203,647
204,663
205,665
206,674
207,680
208,762
209,802
210,804
211,832
212,916
213,920
214,922
215,926
216,931
217,953
218,994
219,1092
220,1246
221,1248
222,1251
223,1254
224,1262
225,1266
226,1267
227,1272
228,1280
229,1281
230,1370
231,1391
232,1407
233,1562
234,1573
235,1597
236,1635
237,1645
238,1649
239,1653
240,1694
241,1729
242,1735
243,1792
244,1807
245,1883
246,1895
247,1904
248,1921
249,1955
250,2011
251,2133
252,2134
253,2269
254,2288
255,2313
256,2334
257,2395
258,2605
259,2671
260,2759
261,2925
262,2976
263,3082
264,3083
265,3489
266,3512
267,3536
268,3635
269,3638
270,3683
271,3981
272,3989
273,4148
274,4232
275,4247
276,4380
277,4638
278,4643
279,4816
280,4958
281,5279
282,5528
283,5902
284,6037
285,6283
286,6537
287,6552
288,6620
289,6947
290,6957
291,6961
292,6978
293,7445
294,7451
295,7484
296,8645
297,8665
298,8914
299,8961
300,8974
301,8984
302,51540
303,89492
304,194
305,348
306,492
307,714
308,928
309,942
310,1245
311,1255
312,1809
313,2067
314,2118
315,4437
316,4552
317,5072
318,5137
319,6538
320,8195
321,18
322,74
323,76
324,79
325,81
326,85
327,100
328,140
329,640
330,653
331,707
332,765
333,818
334,35
335,58
336,63
337,64
338,89
339,97
340,105
341,122
342,154
343,166
344,177
345,179
346,229
347,249
348,262
349,269
350,281
351,326
352,332
353,334
354,340
355,346
356,379
357,423
358,445
359,451
360,475
361,479
362,501
363,504
364,522
365,547
366,580
367,599
368,612
369,662
370,703
371,891
372,902
373,929
374,940
375,950
376,951
377,954
378,955
379,966
380,968
381,982
382,1023
383,1090
384,1091
385,1103
386,1124
387,1268
388,1381
389,1389
390,4970
391,1907
392,2013
393,393
394,553
395,921
396,948
397,1427
398,4105
399,24
400,425
401,532
402,605
403,668
404,670
405,841
406,900
407,949
408,1900
409,1927
410,1946
411,1947
412,1949
413,1957
414,1958
415,2022
416,2176
417,4564
418,4967
419,4978
420,6415
421,7347
422,7942
423,8338
424,8656
425,8966
426,25769
427,78
428,69
429,49530
430,73
431,1892
432,1366
433,2300
434,2662
435,118
436,203
437,227
438,254
439,424
440,426
441,581
442,767
443,782
444,806
445,869
446,947
447,996
448,1018
449,1422
450,1440
451,1523
452,1588
453,1598
454,1620
455,1624
456,1701
457,1726
458,1791
459,1965
460,2024
461,2082
462,2112
463,2116
464,2122
465,2252
466,2253
467,2255
468,2320
469,2639
470,2642
471,2749
472,2757
473,2787
474,2977
475,3035
476,3063
477,4464
478,4474
479,4488
480,4787
481,4929
482,4951
483,4960
484,5125
485,5548
486,5689
487,5723
488,204
489,88
490,1359
491,4248
492,838
493,55
494,68
495,147
496,242
497,381
498,521
499,1367
500,8197
501,220
502,285
503,330
504,338
505,606
506,1880
507,2322
508,4553
509,6951
510,837
511,2978
512,3525
513,637
514,8965
515,303
516,421
517,688
518,1636
519,1948
520,1969
521,238
522,392
523,1911
524,1995
525,65
526,609
527,4771
528,635
529,1587
530,1975
531,1979
532,1996
533,2044
534,2163
535,415
536,801
537,2123
538,12
539,28
540,279
541,280
542,613
543,650
544,664
545,694
546,709
547,711
548,2779
549,2059
550,667
551,704
552,810
553,839
554,15
555,98
556,239
557,409
558,510
559,575
560,1599
561,1991
562,2142
563,2164
564,2335
565,2900
566,2924
567,3036
568,4614
569,5955
570,6615
571,6977
572,7007
573,7984
574,8363
575,8373
576,8810
577,8859
578,26736
579,27022
580,49526
581,55721
582,77866
583,2275
584,1586
585,93
586,783
587,872
588,1913
589,7979
590,8367
591,205
592,2155
593,2359
594,4174
595,4688
596,3980
597,234
598,275
599,437
600,548
601,116
602,121
603,213
604,218
605,290
606,331
607,568
608,756
609,766
610,828
611,830
612,844
613,892
614,747
615,455
616,174
617,879
618,1970
619,1985
620,2026
621,2069
622,2119
623,2789
624,2928
625,2135
626,117
627,506
628,927
629,1273
630,1535
631,1648
632,1734
633,1788
634,1924
635,1939
636,1966
637,2043
638,2312
639,2362
640,3093
641,71
642,1480
643,1727
644,4234
645,1992
646,257
647,378
648,489
649,1593
650,1688
651,2330
652,5255
653,1683
654,881
655,943
656,1429
657,1613
658,1646
659,1678
660,1824
661,1852
662,1885
663,1894
664,3563
665,217
666,558
667,1487
668,1667
669,3594
670,4977
671,8879
672,4964
673,8012
674,754
675,1537
676,544
677,809
678,829
679,2567
680,3509
681,8010
682,8968
683,760
684,1498
685,1572
686,4327
687,490
688,470
689,834
690,1430
691,1632
692,8832
693,8835
694,8836
695,8839
696,8870
697,391
698,639
699,274
700,8643
701,8982
702,1542
703,199
704,86835
705,66
706,200
707,240
708,422
709,512
710,600
711,691
712,861
713,1647
714,700
715,13
716,146
717,201
718,243
719,343
720,687
721,705
722,1024
723,2310
724,957
725,944
726,3432
727,5876
728,1165
729,8827
730,4566
731,8838
732,627
733,630
734,5994
735,7303
736,43930
737,56715
738,8814
739,414
740,824
741,1643
742,1844
743,901
744,935
745,938
746,956
747,3580
748,113
749,103
750,698
751,473
752,888
753,936
754,961
755,984
756,2899
757,3090
758,7211
759,8584
760,387
761,433
762,1495
763,2266
764,6877
765,219
766,533
767,184
768,846
769,2652
770,3777
771,8848
772,26171
773,48231
774,8337
775,1633
776,1934
777,2654
778,80
779,401
780,615
781,759
782,7840
783,7459
784,1581
785,577
786,1592
787,941
788,3078
789,4584
790,619
791,907
792,2039
793,2048
794,2057
795,3604
796,4133
797,4141
798,4169
799,4912
800,5038
801,5375
802,8916
803,8999
804,8275
805,488
806,4518
807,6114
808,8872
809,8923
810,62764
811,7300
812,278
813,453
814,2171
815,83
816,155
817,408
818,603
819,962
820,1398
821,1417
822,4478
823,6466
824,6477
825,6522
826,7305
827,7980
828,8009
829,8487
830,8617
831,8920
832,99
833,187
834,8831
835,8963
836,301
837,389
838,1428
839,268
840,850
841,981
842,4442
843,710
844,1642
845,3600
846,2486
847,8689
848,4349
849,438
850,8871
851,71668
852,990
853,1497
854,5915
855,1933
856,467
857,787
858,2280
859,3902
860,813
861,96
862,5820
863,8491
864,241
865,2207
866,4806
867,388
868,1730
869,309
870,1051
871,439
872,4550
873,4347
874,679
875,816
876,755
877,1669
878,59
879,1865
880,2752
881,4836
882,6950
883,6963
884,7095
885,7450
886,8987
887,1621
888,4543
889,2062
890,620
891,963
892,4515
893,8840
894,8882
895,769
896,2609
897,3133
898,5825
899,1903
900,702
901,2636
902,2637
903,2649
904,2758
905,77
906,559
907,573
908,681
909,793
910,820
911,854
912,1365
913,1369
914,1406
915,1654
916,496
917,1878
918,567
919,864
920,2323
921,4961
922,6279
923,696
924,845
925,38
926,320
927,251
928,87
929,564
930,840
931,1433
932,1902
933,2292
934,2898
935,3112
936,651
937,808
938,2493
939,626
940,746
941,2056
942,2755
943,4108
944,4523
945,5966
946,6964
947,7131
948,8388
949,8392
950,9012
951,25941
952,26505
953,336
954,114
955,582
956,3116
957,49013
958,108
959,137
960,189
961,244
962,526
963,561
964,565
965,571
966,614
967,621
968,775
969,1493
970,1640
971,1696
972,1715
973,1771
974,1891
975,1989
976,2055
977,2295
978,2655
979,2800
980,3021
981,1555
982,6073
983,7299
984,2284
985,2661
986,5503
987,5516
988,7453
989,764
990,865
991,1901
992,2832
993,617
994,1164
995,1571
996,1819
997,4538
998,5236
999,4104
1000,7340
1001,3933
1002,4233
1003,4477
1004,8290
1005,638
1006,245
1007,8273
1008,8699
1009,103731
1010,2103
1011,167
1012,563
1013,129
